Number of Nodes,Brushfire mean,Standard deviation of Brushfire,NNs mean,Mean distance,Mean minimun distance,Class
4.0,4.3500000000000005,1.3583077707206126,1.75,6.308304607957007,2.8380573184578495,0.0
5.0,8.06,2.2301121048054964,2.4,4.1653736706455655,2.119777054234136,0.0
7.0,3.5357142857142856,0.022587697572631286,2.142857142857143,1.9519234688947127,0.6576401739449049,1.0
3.0,4.866666666666666,0.04714045207910317,2.333333333333333,3.035018889743009,2.0028336182012967,1.0
12.0,8.0625,4.199658964328731,2.25,12.17594491505616,2.87440712965242,0.0
6.0,3.7666666666666666,0.023570226039551584,1.8333333333333333,2.3604227552163484,0.6257381162694186,1.0
5.0,8.22,2.2353075850987487,2.4,4.109260617576539,2.091112342017888,0.0
2.0,6.4750000000000005,0.025,1.5,1.75,1.75,0.0
17.0,5.397058823529412,2.2390564312723664,2.294117647058824,12.158081984134219,1.6579423686395813,0.0
5.0,6.0,0.9252026804976303,1.8,3.417451356861178,1.4264994770385777,0.0
8.0,9.3125,2.423807696579908,2.25,3.7431385530769505,1.6624775271875465,0.0
2.0,5.425000000000001,0.025,1.5,1.950640920313116,1.950640920313116,0.0
20.0,7.96,1.5498870926619142,2.4,26.60497798944853,3.0429251015047694,0.0
4.0,5.5875,0.98765821517365,1.75,11.96740788368502,4.525069443908616,0.0
2.0,9.275,0.025,1.5,6.300198409574098,6.300198409574098,0.0
2.0,9.625,3.1750000000000003,1.5,11.12519662747585,11.12519662747585,0.0
7.0,7.8500000000000005,3.247636503234754,2.571428571428572,12.780241941283563,1.2453206006582267,0.0
2.0,6.7250000000000005,5.775,1.5,18.226697451815014,16.63834872590751,0.0
6.0,9.725000000000001,3.7294715890234813,2.1666666666666665,5.971899793424935,2.475987437646964,0.0
3.0,9.016666666666666,0.023570226039551584,1.6666666666666667,2.168445189436214,1.1699673171197595,0.0
4.0,7.5,0.05,2.5,4.7429860444942475,1.6031001538434175,0.0
2.0,12.475000000000001,0.025,1.5,5.000249993750312,5.000249993750312,0.0
6.0,3.2916666666666665,1.5909684332366734,2.333333333333333,4.65749302734502,1.6675760435976994,0.0
4.0,2.9125,2.762556560506952,2.0,5.819666263732692,1.1503880254746641,0.0
12.0,10.012500000000001,1.6337743877292235,2.583333333333333,6.0740199447938705,1.2439163347045543,0.0
5.0,6.609999999999999,4.1820329984350915,2.2,8.315676133527393,0.9646829557794119,0.0
2.0,3.5500000000000003,2.2,1.5,8.936721994109474,8.936721994109474,0.0
5.0,7.93,0.024494897427831782,2.0,4.690246016596642,1.1604543109109047,0.0
1.0,9.65,0.0,2.0,12.940730273056463,12.940730273056463,0.0
4.0,6.275,0.025,1.75,3.977006781786766,1.680488611432322,0.0
10.0,3.0850000000000004,2.0504938429558863,2.2,14.395536554106187,1.5251557153297655,0.0
12.0,3.3125,1.3700859157974974,2.333333333333333,9.372777759199353,1.5334397807937163,1.0
7.0,5.385714285714286,0.051507875363771286,2.2857142857142856,7.251519483209181,2.450345496607418,0.0
9.0,9.127777777777778,4.944138567317821,2.2222222222222223,13.180194843631384,1.5111313865912517,0.0
3.0,7.4,0.0408248290463863,1.6666666666666667,11.366862357910023,8.400149064636665,0.0
9.0,2.0777777777777784,0.04157397096415491,2.7777777777777777,11.33370622151138,2.5945175658179216,1.0
6.0,15.091666666666667,4.7334286962224565,2.833333333333333,9.41464936281861,2.6417025855395693,0.0
3.0,3.8166666666666664,0.023570226039551584,1.6666666666666667,2.7,1.3666666666666665,1.0
3.0,5.866666666666666,0.023570226039551584,1.6666666666666667,1.3333333333333337,0.6833333333333332,0.0
4.0,7.8125,0.0414578098794425,1.75,2.11833357698951,0.8524754878398197,0.0
3.0,4.533333333333334,5.633284023452829,1.6666666666666667,15.119883011573641,6.186787647781438,0.0
7.0,5.271428571428572,2.353850514560761,2.0,13.203735169875735,6.383374572632915,0.0
13.0,7.296153846153846,4.22499255977777,2.4615384615384617,13.726888076886404,2.0986792197566664,0.0
6.0,9.933333333333332,1.1257096527178854,2.333333333333333,9.689146644141541,2.4250000000000003,0.0
3.0,5.566666666666666,0.023570226039551584,1.6666666666666667,0.5676767651301299,0.30052032569802334,0.0
7.0,3.3857142857142857,0.71149454656794,2.2857142857142856,6.729530577081107,1.5740725851129027,0.0
6.0,6.016666666666666,0.13123346456686352,1.8333333333333333,8.488205645544681,3.0754283459436693,0.0
2.0,5.300000000000001,0.0,1.5,3.2503845926290014,3.2503845926290014,0.0
11.0,6.300000000000001,1.8189657400941783,2.1818181818181817,22.016250465653478,3.6581117608788647,0.0
7.0,8.614285714285714,3.5825683410602718,2.142857142857143,10.144205868338014,4.548968658878708,0.0
2.0,9.425,0.025,1.5,6.500192304847603,6.500192304847603,0.0
9.0,7.783333333333333,3.2618161267067842,2.1111111111111107,6.159657692510152,2.590251415944441,0.0
4.0,9.4375,0.021650635094610966,2.0,2.3757781693972078,1.37590909061141,0.0
2.0,14.775,0.025,3.0,0.05,0.05,0.0
6.0,11.908333333333331,0.8022970494496134,1.8333333333333333,5.5084335244118305,1.6181070686098995,0.0
8.0,3.475,0.21937410968480303,2.75,11.50589097463028,1.4338889230122642,1.0
2.0,7.5,0.0,1.5,8.05,8.05,0.0
7.0,10.00714285714286,1.554125516954464,2.142857142857143,3.994744676536518,0.6929315395473656,0.0
7.0,9.264285714285714,5.165456298867526,2.142857142857143,16.419197362771182,4.138353242513478,0.0
2.0,10.375,0.025,2.0,2.7004629232781556,2.7004629232781556,0.0
3.0,4.5666666666666655,0.023570226039551584,1.6666666666666667,5.366770508826555,2.700052082824717,1.0
5.0,8.870000000000001,3.6906097057261427,2.0,8.131641622160073,1.2002563681252465,0.0
